Pyranine in 1-butanol 4th run 5 more minutes of sonication,,Pyranine in 1-butanol 5th run 10 more min sonication (20 total),,Pyranine in 1-butanol 5th rerun 10 more min sonication (20 total),,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
507.5932617,0.02596282214,507.5932617,0.030016087,507.5932617,0.02934353799,
507.4035034,0.02592877485,507.4035034,0.03019045852,507.4035034,0.02940857224,
507.2138367,0.02604587749,507.2138367,0.03031149134,507.2138367,0.02959943563,
506.986145,0.02605450712,506.986145,0.03048892319,506.986145,0.02957053296,
506.7964478,0.02597249672,506.7964478,0.03047001362,506.7964478,0.02952838875,
506.60672,0.02597414516,506.60672,0.03052838333,506.60672,0.02958236635,
506.3790283,0.02595227025,506.3790283,0.03044627234,506.3790283,0.0295264218,
506.18927,0.02606228739,506.18927,0.03052618913,506.18927,0.02952639386,
505.9995117,0.02597964182,505.9995117,0.03044557758,505.9995117,0.02954778448,
505.8097839,0.02610772476,505.8097839,0.03045934997,505.8097839,0.02971096151,
505.5820007,0.02600168251,505.5820007,0.03033461235,505.5820007,0.02959896438,
505.3922424,0.02602944151,505.3922424,0.0302047208,505.3922424,0.02963210829,
505.2024841,0.0259669181,505.2024841,0.0301365722,505.2024841,0.02960885689,
505.0126648,0.026064815,505.0126648,0.03000940196,505.0126648,0.02953960933,
504.7848816,0.02602435648,504.7848816,0.02986028232,504.7848816,0.02956471406,
504.5950928,0.02602070011,504.5950928,0.02974245138,504.5950928,0.02947718836,
504.4052734,0.02606234141,504.4052734,0.02966617048,504.4052734,0.02966314927,
504.2154541,0.0260040462,504.2154541,0.02936298028,504.2154541,0.02953168564,
503.9876404,0.02603438869,503.9876404,0.0293165911,503.9876404,0.02960899659,
503.797821,0.02605739422,503.797821,0.02929271944,503.797821,0.0296402853,
503.6079102,0.02601885982,503.6079102,0.02923825197,503.6079102,0.0296443589,
503.380127,0.02613788284,503.380127,0.02934486791,503.380127,0.02963931486,
503.1901855,0.02617150545,503.1901855,0.0293686036,503.1901855,0.02956765145,
503.0003662,0.02623350918,503.0003662,0.02944153547,503.0003662,0.02953218482,
502.8104553,0.02611303143,502.8104553,0.02948134392,502.8104553,0.02944940329,
502.5825806,0.02612097561,502.5825806,0.02944519185,502.5825806,0.0294588767,
502.3926697,0.02616922371,502.3926697,0.0295223482,502.3926697,0.02935644425,
502.2027588,0.02631763369,502.2027588,0.02977552451,502.2027588,0.02942175604,
502.0128784,0.02613702975,502.0128784,0.02979154885,502.0128784,0.02929460257,
501.7849121,0.02628086321,501.7849121,0.02992880344,501.7849121,0.0292638652,
501.5950012,0.02627052367,501.5950012,0.0299020987,501.5950012,0.02923642471,
501.4050903,0.02618456632,501.4050903,0.03003750183,501.4050903,0.02919373102,
501.2151489,0.02625690959,501.2151489,0.03021357395,501.2151489,0.02920688316,
500.9871826,0.0264016632,500.9871826,0.03029789031,500.9871826,0.02915021218,
500.7972107,0.02643239126,500.7972107,0.0303413868,500.7972107,0.02908422053,
500.6072083,0.02648562752,500.6072083,0.03041678667,500.6072083,0.02901704796,
500.3792725,0.02649789862,500.3792725,0.03041437082,500.3792725,0.02907204069,
500.18927,0.02655488439,500.18927,0.03025048412,500.18927,0.02904237062,
499.9993286,0.02667867951,499.9993286,0.03010455333,499.9993286,0.02897019871,
499.8092651,0.02669302002,499.8092651,0.02997237444,499.8092651,0.02891588211,
499.5812988,0.0266668424,499.5812988,0.02974297851,499.5812988,0.0288851168,
499.3911743,0.02669323981,499.3911743,0.02955800854,499.3911743,0.02870051004,
499.2012329,0.02665638365,499.2012329,0.02943621576,499.2012329,0.02864235826,
499.0111694,0.02669797465,499.0111694,0.02940145321,499.0111694,0.02860118821,
498.7831116,0.0268584881,498.7831116,0.02937741019,498.7831116,0.02868837118,
498.5930481,0.02685386315,498.5930481,0.02945233881,498.5930481,0.02861365676,
498.4029846,0.02699289285,498.4029846,0.0294982437,498.4029846,0.0286409203,
498.2129211,0.02695388906,498.2129211,0.02963457629,498.2129211,0.02851283364,
497.9848328,0.02713235095,497.9848328,0.0298041068,497.9848328,0.02841134183,
497.7947693,0.02709975652,497.7947693,0.0298290886,497.7947693,0.02837801352,
497.6046753,0.02708683349,497.6046753,0.02980452403,497.6046753,0.02842963673,
497.4145508,0.02711849287,497.4145508,0.0298540704,497.4145508,0.0283620134,
497.1864319,0.02715169638,497.1864319,0.02981253527,497.1864319,0.02837207355,
496.9963379,0.02711008862,496.9963379,0.02979620546,496.9963379,0.0283221975,
496.8061829,0.02722753584,496.8061829,0.02989996225,496.8061829,0.02836530283,
496.578064,0.02716139518,496.578064,0.02976784483,496.578064,0.02825257368,
496.3879089,0.0272584334,496.3879089,0.02983513288,496.3879089,0.02832526341,
496.1977539,0.02745020203,496.1977539,0.02985745296,496.1977539,0.02835424989,
496.0075684,0.02740106732,496.0075684,0.02984073386,496.0075684,0.02829755098,
495.7794495,0.02754399553,495.7794495,0.03004854359,495.7794495,0.02833424322,
495.5892029,0.02758448571,495.5892029,0.0299540963,495.5892029,0.02837105095,
495.3990784,0.02757576853,495.3990784,0.02996743657,495.3990784,0.02837549895,
495.2088928,0.02761924267,495.2088928,0.03005006909,495.2088928,0.02841540426,
494.9806213,0.02761852555,494.9806213,0.03007048555,494.9806213,0.0283074975,
494.7904358,0.02765391767,494.7904358,0.03008008376,494.7904358,0.02829561755,
494.6002197,0.02779141068,494.6002197,0.03009420633,494.6002197,0.02832554094,
494.4100342,0.02773370966,494.4100342,0.02994616516,494.4100342,0.02825870737,
494.1817017,0.02784983627,494.1817017,0.0300498195,494.1817017,0.02827042155,
493.9915161,0.02793938108,493.9915161,0.03022636659,493.9915161,0.02832634188,
493.8012695,0.02797295153,493.8012695,0.03033430688,493.8012695,0.02825434133,
493.6110229,0.02809093706,493.6110229,0.03071174026,493.6110229,0.02820218727,
493.3827515,0.02814122848,493.3827515,0.03107609786,493.3827515,0.02817080915,
493.1924438,0.02820384502,493.1924438,0.03149027377,493.1924438,0.02813407592,
493.0021667,0.02826580778,493.0021667,0.0318621099,493.0021667,0.0281383004,
492.8119202,0.02810966037,492.8119202,0.03211344779,492.8119202,0.02807804011,
492.5835571,0.02802262083,492.5835571,0.03240947053,492.5835571,0.02813799679,
492.3933105,0.0280024372,492.3933105,0.03258154169,492.3933105,0.02819033712,
492.2029114,0.02795911953,492.2029114,0.03276241571,492.2029114,0.02822671644,
492.0126648,0.0278847795,492.0126648,0.03287986666,492.0126648,0.02821796015,
491.7842407,0.02770986967,491.7842407,0.03302159533,491.7842407,0.02826122195,
491.5939331,0.02761358768,491.5939331,0.03304072842,491.5939331,0.02826000564,
491.403595,0.02775810286,491.403595,0.03335493803,491.403595,0.02840841189,
491.2132568,0.02774066292,491.2132568,0.03366084397,491.2132568,0.02838387154,
490.9848328,0.02783405036,490.9848328,0.03410319984,490.9848328,0.02831410058,
490.7944641,0.02786311321,490.7944641,0.0346615538,490.7944641,0.02835621126,
490.6041565,0.02788571827,490.6041565,0.0352162756,490.6041565,0.02833648212,
490.4137573,0.02794034779,490.4137573,0.03571065888,490.4137573,0.028340213,
490.1853027,0.0280587934,490.1853027,0.03639098257,490.1853027,0.02837989293,
489.9949036,0.02809659764,489.9949036,0.03701046854,489.9949036,0.02836077102,
489.8045044,0.02810880542,489.8045044,0.03782173246,489.8045044,0.02843914367,
489.6140747,0.02804940566,489.6140747,0.03859632462,489.6140747,0.02837431058,
489.3856201,0.02807050198,489.3856201,0.03919558972,489.3856201,0.02844174206,
489.1951599,0.02797220647,489.1951599,0.03985064104,489.1951599,0.0284615308,
489.0047607,0.02792290039,489.0047607,0.04039760306,489.0047607,0.02847977355,
488.81427,0.02786145732,488.81427,0.04086345434,488.81427,0.0285217613,
488.5858154,0.0276999101,488.5858154,0.04102616012,488.5858154,0.02854136191,
488.3953247,0.0275993254,488.3953247,0.04104237631,488.3953247,0.02854343504,
488.204895,0.02751205675,488.204895,0.04087135941,488.204895,0.0286000818,
488.0144348,0.02737277932,488.0144348,0.0405189842,488.0144348,0.02864008956,
487.7858582,0.0272539407,487.7858582,0.04000232369,487.7858582,0.02868463844,
487.5953674,0.02711904235,487.5953674,0.03966001049,487.5953674,0.02869326621,
487.4048767,0.02709534764,487.4048767,0.03938799724,487.4048767,0.02882544324,
487.2144165,0.02706812695,487.2144165,0.03906735405,487.2144165,0.0288408529,
486.9857788,0.02701280825,486.9857788,0.03880672529,486.9857788,0.02876749448,
486.7952881,0.0270860903,486.7952881,0.03868185729,486.7952881,0.0288788639,
486.6047974,0.02721623704,486.6047974,0.03858441114,486.6047974,0.02881874889,
486.4142456,0.02715847455,486.4142456,0.03821472079,486.4142456,0.02872114256,
486.1856079,0.02736668661,486.1856079,0.03786076605,486.1856079,0.02883581817,
485.9950562,0.02735427953,485.9950562,0.03737989441,485.9950562,0.02878646925,
485.8044739,0.02747022174,485.8044739,0.03687290102,485.8044739,0.02884179354,
485.6139832,0.02753428556,485.6139832,0.03625307605,485.6139832,0.02885139175,
485.3852234,0.02749774419,485.3852234,0.03549866378,485.3852234,0.02878619358,
485.1946716,0.02741832659,485.1946716,0.03464212269,485.1946716,0.02878480963,
485.0040588,0.0273093991,485.0040588,0.03381337598,485.0040588,0.02878234722,
484.8135071,0.0270942729,484.8135071,0.03302977607,484.8135071,0.02884588763,
484.5847473,0.02681354992,484.5847473,0.03227909654,484.5847473,0.02885426953,
484.3942261,0.0266796425,484.3942261,0.03156253323,484.3942261,0.02890130132,
484.2036438,0.02648282051,484.2036438,0.03096063435,484.2036438,0.0289043989,
484.0129395,0.02640939318,484.0129395,0.03054912947,484.0129395,0.02894474007,
483.7842102,0.02636620589,483.7842102,0.0301785823,483.7842102,0.02900730632,
483.5935669,0.02638848685,483.5935669,0.02982520685,483.5935669,0.02898987196,
483.4029846,0.02658477053,483.4029846,0.02961963788,483.4029846,0.0290963985,
483.2122803,0.02663433738,483.2122803,0.02939624526,483.2122803,0.02904771268,
