Baseline 100%T,,Pyranine in 10M water in 70:30 1-butanol:acetonitrile,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
483.1946106,0.04552726448,483.1946106,0.004483029712,
483.0039063,0.04542585835,483.0039063,0.004556634929,
482.8132629,0.04542982206,482.8132629,0.004496107344,
482.5844727,0.04533725977,482.5844727,0.004578818567,
482.3937988,0.04532513395,482.3937988,0.004591192584,
482.203064,0.04538116977,482.203064,0.004493596498,
482.0124207,0.04458736628,482.0124207,0.004604744259,
481.7835388,0.0445927009,481.7835388,0.004538167268,
481.5928955,0.04458102584,481.5928955,0.004539527465,
481.4020996,0.04454132915,481.4020996,0.004550749436,
481.2114258,0.04449265823,481.2114258,0.004572670907,
480.9824829,0.04444706067,480.9824829,0.00455956487,
480.7918091,0.04442529753,480.7918091,0.004504294135,
480.6010742,0.04442056641,480.6010742,0.004453397822,
480.4102783,0.04439952224,480.4102783,0.004415242467,
480.1813965,0.04439499229,480.1813965,0.004380856175,
479.9906006,0.04432861879,479.9906006,0.004453423899,
479.7998657,0.04431870207,479.7998657,0.004498173483,
479.6090393,0.04431167617,479.6090393,0.004491137806,
479.3800964,0.04429356009,479.3800964,0.004580833018,
479.1893005,0.04433856905,479.1893005,0.004617929924,
478.9984741,0.04438945651,478.9984741,0.004692055285,
478.8076477,0.04438994452,478.8076477,0.004833825864,
478.5787048,0.04436778277,478.5787048,0.005022672005,
478.3878174,0.04437973723,478.3878174,0.005235677585,
478.197052,0.0444544889,478.197052,0.005314415786,
478.0061035,0.04443636537,478.0061035,0.005508426111,
477.7771912,0.04453510419,477.7771912,0.00558225764,
477.5862427,0.04449896887,477.5862427,0.005707165226,
477.3954163,0.04452879727,477.3954163,0.00572657492,
477.2045898,0.04461525008,477.2045898,0.005780165084,
477.0136719,0.04461923614,477.0136719,0.005872015841,
476.7846069,0.04469503462,476.7846069,0.005975328386,
476.593689,0.04475279525,476.593689,0.006000287831,
476.4028015,0.04477549344,476.4028015,0.00593667198,
476.2118835,0.04474048316,476.2118835,0.005908147432,
475.9827881,0.04482210055,475.9827881,0.005693972576,
475.7918701,0.04485329613,475.7918701,0.00552292401,
475.6008911,0.04488682374,475.6008911,0.005264288746,
475.4099731,0.04486670345,475.4099731,0.0051072645,
475.1808167,0.04485327005,475.1808167,0.005029611755,
474.9898376,0.04487270117,474.9898376,0.004935320932,
474.7989197,0.04488211498,474.7989197,0.005045560189,
474.6079407,0.04490197822,474.6079407,0.005069287494,
474.3787537,0.04493522272,474.3787537,0.005063551944,
474.1877441,0.04495810345,474.1877441,0.005074027926,
473.9967651,0.04499157891,473.9967651,0.00501135923,
473.8058472,0.04506129771,473.8058472,0.004992112983,
473.5765686,0.04510500282,473.5765686,0.004979910795,
473.3855896,0.04521317407,473.3855896,0.004853458144,
473.1944885,0.04523911327,473.1944885,0.004818591755,
473.00354,0.04522908852,473.00354,0.004833930638,
472.812439,0.04535154253,472.812439,0.004571807571,
472.5832214,0.04540760815,472.5832214,0.004516221117,
472.3921509,0.04538464546,472.3921509,0.004523335956,
472.2010803,0.04552919045,472.2010803,0.004417229909,
472.0100403,0.04555219039,472.0100403,0.004479603842,
471.7807312,0.04564071447,471.7807312,0.004395787138,
471.5895996,0.04567312077,471.5895996,0.004395290278,
471.3985596,0.04570489749,471.3985596,0.004476046655,
471.2074585,0.04585375264,471.2074585,0.00439427048,
470.9781189,0.04590936378,470.9781189,0.004367572721,
470.7869873,0.04594268277,470.7869873,0.004457556177,
470.5958862,0.04600084201,470.5958862,0.004427376669,
470.4048157,0.04609527439,470.4048157,0.004371651914,
470.2135925,0.04616582766,470.2135925,0.004477406852,
469.984314,0.04621221125,469.984314,0.004474791232,
469.7930908,0.04638111219,469.7930908,0.004379260819,
469.6019592,0.04641910642,469.6019592,0.004447408952,
469.4108276,0.04653033987,469.4108276,0.004496578127,
469.181366,0.04661335796,469.181366,0.004490484018,
468.9902039,0.04669160768,468.9902039,0.004448297899,
468.7989807,0.04682024196,468.7989807,0.004475837573,
468.6078186,0.04689348117,468.6078186,0.004546642303,
468.3783264,0.0470404923,468.3783264,0.004544314463,
468.1871643,0.04706253111,468.1871643,0.004640325904,
467.9959412,0.04710984603,467.9959412,0.004682295024,
467.804718,0.04726076871,467.804718,0.004598936066,
467.6134644,0.04731601477,467.6134644,0.004648724571,
467.3839722,0.04744303972,467.3839722,0.004656940233,
467.1927185,0.04756227881,467.1927185,0.004622325301,
467.0014954,0.04768255726,467.0014954,0.00456851162,
466.8101807,0.04776602983,466.8101807,0.004561605398,
466.5807495,0.04786937311,466.5807495,0.004540887661,
466.3893738,0.04794813693,466.3893738,0.004546354525,
466.1981506,0.04799433425,466.1981506,0.00449289009,
466.006897,0.04809706658,466.006897,0.00445802696,
465.7772827,0.04830786958,465.7772827,0.004436111078,
465.5859985,0.04835491627,465.5859985,0.004478191491,
465.3946533,0.04849402606,465.3946533,0.004493308719,
465.2033691,0.04860790819,465.2033691,0.00445447024,
465.0120239,0.04867102578,465.0120239,0.004489490297,
464.7824402,0.04878437519,464.7824402,0.004552083556,
464.5910645,0.0489282012,464.5910645,0.00453392975,
464.3997192,0.0489667654,464.3997192,0.004618531559,
464.2083435,0.04901573807,464.2083435,0.004674104974,
463.9787292,0.04911897331,463.9787292,0.004709064029,
463.7873535,0.04915421829,463.7873535,0.004745936487,
463.5960083,0.04923069477,463.5960083,0.004840605427,
463.4046326,0.04934413359,463.4046326,0.004856992047,
463.2132263,0.04943044856,463.2132263,0.00482280599,
462.9835205,0.04949458688,462.9835205,0.004846259486,
462.7921448,0.0495621264,462.7921448,0.004807912745,
462.6007385,0.04962657392,462.6007385,0.004761089571,
462.4092712,0.04972728342,462.4092712,0.00468007056,
462.1795959,0.04981762543,462.1795959,0.004664502107,
461.9881287,0.05064778402,461.9881287,0.004592866637,
461.7967224,0.05069682747,461.7967224,0.004527023993,
461.6052551,0.05076996982,461.6052551,0.004483500496,
461.3754883,0.05086809397,461.3754883,0.004430959467,
461.184021,0.05094533786,461.184021,0.004367755726,
460.9925232,0.0510368906,460.9925232,0.004422826227,
460.8011169,0.05105421692,460.8011169,0.004470475949,
460.6095886,0.05115383118,460.6095886,0.004504346289,
460.3797913,0.0512948893,460.3797913,0.004528776743,
