50:50 1but:aceto + 5M H2O,,pyranine in 50:50 mol% 1but:acetonitrile + 5M H2O,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
431.9599915,0.1618808061,431.9599915,399.6245728,
432.269989,0.2075967789,432.269989,398.1929932,
432.4200134,0.1360502243,432.4200134,397.9603882,
432.5700073,0.1750535965,432.5700073,397.2835083,
432.7200012,0.1668819636,432.7200012,397.447937,
433.0299988,0.1849631369,433.0299988,398.2182007,
433.1799927,0.1854759902,433.1799927,396.8552551,
433.3299866,0.1154712141,433.3299866,395.2091064,
433.6300049,0.1596271247,433.6300049,394.1656799,
433.7799988,0.2191925049,433.7799988,393.9268494,
433.9299927,0.2092687041,433.9299927,393.0516663,
434.2399902,0.1807213873,434.2399902,392.2953796,
434.3900146,0.1691294909,434.3900146,392.304718,
434.5400085,0.2304247916,434.5400085,393.0839233,
434.8399963,0.1818273067,434.8399963,390.5644226,
435,0.1784922928,435,390.2662354,
,,435.1499939,390.8065796,
,,435.4500122,388.2832336,
,,435.6000061,388.0918274,
,,435.75,387.6438599,
,,436.0599976,386.6836548,
,,436.2099915,385.0022278,
,,436.3599854,386.3993835,
,,436.6600037,385.2872925,
,,436.8099976,385.2293701,
,,436.9599915,384.1174622,
,,437.269989,381.2998962,
,,437.4200134,381.9196472,
,,437.5700073,381.0503235,
,,437.7200012,381.0168762,
,,438.0299988,377.8208923,
,,438.1799927,378.9624329,
,,438.3299866,380.3163452,
,,438.6300049,377.9108887,
,,438.7799988,376.9851685,
,,438.9299927,376.2895203,
,,439.2399902,376.1065063,
,,439.3900146,376.036499,
,,439.5400085,374.6956787,
,,439.8399963,371.6586914,
,,440,373.7460938,
,,440.1400146,371.2838745,
,,440.4400024,369.3148804,
,,440.5899963,369.1644897,
,,440.7399902,369.1352844,
,,441.0400085,366.4274902,
,,441.1900024,367.4981995,
,,441.3399963,366.5349121,
,,441.6400146,365.0586548,
,,441.7900085,364.4307861,
,,441.9400024,361.7645264,
,,442.230011,359.555542,
,,442.3800049,359.946167,
,,442.5299988,359.7324829,
,,442.8299866,357.525116,
,,442.980011,356.2626038,
,,443.1300049,356.6530762,
,,443.4299927,354.7281799,
,,443.5799866,352.4845276,
,,443.730011,352.5768738,
,,444.019989,349.6290588,
,,444.1700134,351.2391052,
,,444.3200073,347.5622559,
,,444.6199951,345.3833313,
,,444.769989,346.4285583,
,,445.0700073,344.5473633,
,,445.2200012,343.4418945,
,,445.3699951,340.8918457,
,,445.6700134,337.5325623,
,,445.8200073,338.845459,
,,445.9700012,337.1098938,
,,446.2600098,335.658905,
,,446.4100037,333.369873,
,,446.5599976,333.1853943,
,,446.7099915,331.8878174,
,,447.0100098,327.7697754,
,,447.1600037,327.8062744,
,,447.4599915,325.9094543,
,,447.6099854,325.9959412,
,,447.7600098,323.8192749,
,,448.0499878,321.420166,
